,Unnamed: 0,index,question,response,answer,output,conv_actual_answer,conv_predicted_answer,f1_score,exact
1371,1371,1371,Which year of the Bolivarian Games did Mauricio Ortega win a gold medal and what were his stats?,"evidence: |
  The relevant row contains information about Mauricio Ortega's win at the Bolivarian Games:
  Year | Competition | Venue | Position | Event | Notes
  2013 | Bolivarian Games | Trujillo, Perú | 1st | Discus throw | 59.67 m
answer: |
  In 2013, Mauricio Ortega won a gold medal at the Bolivarian Games with a throw of 59.67 m.","In the 2013 Bolivarian Games, Mauricio Ortega threw at 59.67 m which earned him a gold medal.","2013, 59.67 m 
","in the 2013 bolivarian games, mauricio ortega threw at 59.67 m which earned him a gold medal","2013, 59.67 m",33.333333333333336,0.0
1372,1372,1372,Did Patino score more goals on average playing in the PDL or the NSL?,"evidence: |
  The relevant rows contain information about Santiago Patiño's goals while playing in the NPSL and PDL:
  Club | Season | League | Apps | Goals
  Kraze United | 2016 | NPSL | 4 | 5
  SIMA Águilas | 2017 | PDL | 7 | 4
  Seattle Sounders U-23 | 2018 | PDL | 14 | 9

  For the NPSL (Kraze United in 2016):
  - Goals scored: 5
  - Apps: 4
  - Average goals per game = 5 / 4 = 1.25

  For the PDL (SIMA Águilas in 2017 and Seattle Sounders U-23 in 2018):
  - Goals scored: 4 (SIMA Águilas) + 9 (Seattle Sounders U-23) = 13
  - Apps: 7 (SIMA Águilas) + 14 (Seattle Sounders U-23) = 21
  - Average goals per game = 13 / 21 ≈ 0.62

answer: |
  Santiago Patiño scored more goals on average in the NPSL with an average of 1.25 goals per game compared to 0.62 goals per game in the PDL.",Patiño participated in the NPSL with Kraze United in 2016 and also played in the PDL with both SIMA Águilas and Seattle Sounders U-23.,"NPSL 
",patiño participated in the npsl with kraze united in 2016 and also played in the pdl with both sima águilas and seattle sounders u-23,npsl,8.695652173913045,0.0
1373,1373,1373,What place did Marika Popowicz-Drapala finish in the 2009 European Team Championships?,"evidence: |
  The relevant row contains information about Marika Popowicz-Drapała's performance in the 2009 European Team Championships:
  Year | Competition | Venue | Position | Event | Notes
  2009 | European Team Championships | Leiria, Portugal | 5th | 100 m | 11.51
answer: |
  Marika Popowicz-Drapała finished in 5th place in the 100 m at the 2009 European Team Championships.","Representing Poland at the 2009 European Team Championships, Marika Popowicz-Drapała finished fifth in the 100 m.","5th place 
","representing poland at the 2009 european team championships, marika popowicz-drapała finished fifth in the 100 m",5 place,0.0,0.0
1374,1374,1374,How did the Unity City Academy exam results change each year from 2014 to 2016?,"evidence: |
  The relevant rows contain information about Unity City Academy's exam results from 2014 to 2016:
  - Year | Unity City Academy results
  - 2014 | 34%
  - 2015 | 26%
  - 2016 | 19%
answer: |
  From 2014 to 2016, Unity City Academy's exam results declined each year, decreasing from 34% in 2014 to 26% in 2015, and further down to 19% in 2016.","The exam results continued to decline by 34% (2014),26% (2015) and 19% (2016).","Declined each year 
",the exam results continued to decline by 34,declined each year,0.0,0.0
1375,1375,1375,Which year did George MacKay appear in the film The Best of Men and what character did he play in Private Peaceful?,"evidence: |
  The relevant rows contain information about George MacKay's film roles:
  Year | Title | Role | Notes
  2012 | The Best of Men | Private William Heath | TV
  2012 | Private Peaceful | Private Tommo Peaceful | -
answer: |
  George MacKay appeared in the film The Best of Men in 2012, and he played the character Private Tommo Peaceful in Private Peaceful.","In 2012, George MacKay played the character, Private Tommo Peaceful, in Private Peaceful and appeared in the film The Best of Men.","2012, Private Tommo Peaceful 
","in 2012, george mackay played the character, private too peaceful, in private peaceful and appeared in the film the best of men","2012, private too peaceful",34.78260869565217,0.0
1376,1376,1376,How did GFG's revenue change from 2016 to 2017?,"evidence: |
  The relevant rows provide the information about GFG's revenue for the years 2016 and 2017:
  Year | Net Revenue (EURm) | Revenue growth (%, FX neutral basis)
  2016 | 1023.1 (excl. Jabong) | 26.4%
  2017 | 1095.0 (excl. Jabong & Namshi) | 19.9%
answer: |
  From 2016 to 2017, GFG's revenue increased from 1023.1 million EUR to 1095.0 million EUR, indicating a growth in revenue.","GFG reported net revenue of 1095.0 in 2017 (excluding Jabong and Namshi), with revenue growth up 19.9% from 2016.","Increased by 71.9 million EUR 
","gfg reported net revenue of 1095.0 in 2017 (excluding jabong and namshi), with revenue growth up 19.9% from 2016",increased by 71.9 eur,0.0,0.0
1377,1377,1377,Who competed in the 800 m at the 2001 World Championships and also appeared at the Commonwealth Games in 1998 and 2002?,"evidence: |
  The relevant rows contain information about Isireli Naikelekelevesi's performances in the 800 m event at the specified competitions:
  Year | Competition | Venue | Position | Event | Notes
  2001 | World Championships | Edmonton, Canada | 6th | 800 m | 1:50.74
  1998 | Commonwealth Games | Kuala Lumpur, Malaysia | 5th (h) | 800 m | 1:50.66
  2002 | Commonwealth Games | Manchester, United Kingdom | 8th (sf) | 800 m | 1:50.00
answer: |
  Isireli Naikelekelevesi competed in the 800 m at the 2001 World Championships, as well as at the Commonwealth Games in 1998 and 2002.",Isireli Naikelekelevesi competed in the 800 m at the 2001 World Championships and also appeared at the Commonwealth Games in 1998 and 2002.,"Isireli Naikelekelevesi 
",isireli naikelekelevesi competed in the 800 m at the 2001 world championships and also appeared at the coonwealth games in 1998 and 2002,isireli naikelekelevesi,18.181818181818183,0.0
1378,1378,1378,Who holds the record for the fastest average solve time and when was it set?,"evidence: |
  The relevant row contains information about the fastest average solve time:
  Name | Fastest average | Competition
  Max Park | 42.56s | WCCT Cupertino 2018
answer: |
  Max Park holds the record for the fastest average solve time of 42.56 seconds, which was set at the WCCT Cupertino in 2018.",Max Park set the fastest average of 42.56 seconds at the WCCT 2018 competition.,"Max Park, WCCT Cupertino 2018 
",max park set the fastest average of 42.56 seconds at the wcct 2018 competition,"max park, wcct cupertino 2018",47.05882352941176,0.0
1379,1379,1379,What were Natosha Rogers personal and overall team records in the 2017 IAAF World Cross Country Championships?,"evidence: |
  The relevant rows contain information about Natosha Rogers' performance in the 2017 IAAF World Cross Country Championships:
  Year | Competition | Venue | Position | Event | Notes
  2017 | 2017 IAAF World Cross Country Championships | Kampala, Uganda | 23rd | 10 km | 34:47
  2017 | 2017 IAAF World Cross Country Championships | Kampala, Uganda | Team USA 5th | 10 km | 90 points
answer: |
  Natosha Rogers achieved a personal record of 23rd place in the 10 km with a time of 34:47, and the overall team record for Team USA was 5th place with 90 points in the 2017 IAAF World Cross Country Championships.","Natosha placed 23rd at the 2017 IAAF World Cross Country Championships in the 10 km event in 34:47, helping Team USA to a 5th place with 90 points.","23rd, 5th 
","natosha placed 23 at the 2017 iaaf world cross country championships in the 10 km event in 34:47, helping team usa to a 5 place with 90 points","23, 5",14.814814814814813,0.0
1380,1380,1380,Did Allison Stokke improve every year from 2013 to 2017?,"evidence: |
  The relevant rows contain information about Allison Stokke's heights from 2013 to 2017:
  Year | Height | U.S. ranking
  2013 | 4.20 m (13 ft 9 3⁄8 in) | -
  2014 | 3.95 m (12 ft 11 1⁄2 in) | -
  2015 | 4.15 m (13 ft 7 3⁄8 in) | -
  2016 | 4.16 m (13 ft 7 3⁄4 in) | -
  2017 | 4.27 m (14 ft 1⁄8 in) | -
answer: |
  No, Allison Stokke did not improve every year from 2013 to 2017. 
  After 2013, her height decreased in 2014 (to 3.95 m), before increasing again in 2015, 2016, and 2017.","Allison Stokke's performance declined from 2013 to 2014, with a seasonal best of 4.20 m in 2013 and 3.95 m in 2014.","No 
","allison stokke's performance declined from 2013 to 2014, with a seasonal best of 4.20 m in 2013 and 3.95 m in 2014",no,0.0,0.0
1381,1381,1381,Did the D'Ambrosio twins appear together following Legit in 2013?,"evidence: |
  The relevant rows contain information about the D'Ambrosio twins' appearances in 2013:
  Year(s) | Title | Bianca's Role | Chiara's Role | Notes
  2013 | Legit | Little girl | Little girl | FX
  2013 | See Dad Run | Twin #2 | Twin #1 | Nickelodeon
  2013 | Feeding Mr. Baldwin | Girl Scout 1 | Girl Scout 2 | Feature film
  2013 | Marked | Young Devon | - | TV Movie
  
  In addition, their appearances in 2014 also include roles they shared:
  Year(s) | Title | Bianca's Role | Chiara's Role | Notes
  2014 | The Savages | Guest Star Recurring | Guest Star Recurring | Disney XD
  2014 | Reflections | Polly | Amanda | Short film
  2014 | The Catch | Molly | Holly | Short film
  2014 | Lone | Twin #1 | Twin #2 | Film

answer: |
  Yes, the D'Ambrosio twins appeared together in ""See Dad Run"" and ""Feeding Mr. Baldwin"" in 2013, and they continued to appear together in multiple productions in 2014.","In 2013, The D'Ambrosio Twins starred in the FX show Legit, followed by only Bianca starring in Jeselnik Offensive on Comedy Central.","Yes 
","in 2013, the d'ambrosio twins starred in the fx show legit, followed by only bianca starring in jeselnik offensive on comedy central",yes,0.0,0.0
1382,1382,1382,Has the Polytron Corporation won a Game of the Year title?,"evidence: |
  The relevant row contains information about the Game of the Year title won by Polytron Corporation:
  Year | Game | Genre | Platform(s) | Developer(s)
  2012 | Fez | Puzzle-platformer | Xbox 360 | Polytron Corporation
answer: |
  Yes, the Polytron Corporation won a Game of the Year title in 2012 for the game Fez.","Fez, by the Polytron Corporation, won Eurogamer's 2012 Game of the Year award.","Yes 
","fez, by the polytron corporation, won eurogamer's 2012 game of the year award",yes,0.0,0.0
1383,1383,1383,What significant career achievement did Wells make in 1961 for a song and what album was that song released on?,"evidence: |
  The relevant row contains information about Kitty Wells' significant achievement in 1961:
  Year | Title | Peak chart positions | Album
  1961 | ""Heartbreak U.S.A."" | 1 | Heartbreak U.S.A.
answer: |
  In 1961, Kitty Wells achieved a significant career milestone with her song ""Heartbreak U.S.A.,"" which reached No. 1 on the charts and was released on the album Heartbreak U.S.A.","In 1961, Wells had her first number one single with ""Heartbreak U.S.A."", from an album of the same name released that year.","""Heartbreak U.S.A."", ""Heartbreak U.S.A."" 
","in 1961, wells had her first number 1 single with heartbreak u.s.a., from an album of the same name released that year","heartbreak u.s.a., heartbreak u.s.a",16.666666666666668,0.0
1384,1384,1384,Who were the candidates in the 1910 Mid Glamorgan by-election and what was the majority number of votes?,"evidence: |
  The relevant rows contain information about the candidates and the majority in the 1910 Mid Glamorgan by-election:
  Party | Candidate | Votes | % | ±
  - | Lib-Lab | Frederick William Gibbins | 8,920 | 59.0 | 20.6
  - | Labour | Vernon Hartshorn | 6,210 | 41.0 | N/A
  Majority | Majority | 2,710 | 17.9 | 41.2
answer: |
  The candidates in the 1910 Mid Glamorgan by-election were Frederick William Gibbins from the Lib-Lab party and Vernon Hartshorn from the Labour party. The majority number of votes was 2,710.","Gibbins held the seat for the Liberals with a majority of 2,710 against a Labour challenge from Vernon Hartshorn.","Frederick William Gibbins, Vernon Hartshorn, 2,710 
","gibbins held the seat for the liberals with a majority of 2,710 against a labour challenge from vernon hartshorn","frederick william gibbins, vernon hartshorn, 2,710",38.09523809523809,0.0
1385,1385,1385,What play and role did Michael Crawford play in 2004?,"evidence: |
  The relevant row contains information about Michael Crawford's role in 2004:
  Year | Title | Role(s)
  2004 | The Woman in White | Count Fosco
answer: |
  In 2004, Michael Crawford played the role of Count Fosco in the play The Woman in White.","In 2004, Michael Crawford played the role of Count Fosco in The Woman in White.","The Woman in White, Count Fosco 
","in 2004, michael crawford played the role of count fosco in the woman in white","the woman in white, count fosco",55.55555555555556,0.0
1386,1386,1386,How many goals did Mancini score for Roma in Serie A during the 2007-2008 season?,"evidence: |
  The relevant row contains information about Mancini's performance for Roma during the 2007-2008 season:
  Season | Club | League | Apps | Goals
  2007–08 | Roma | Serie A | 31 | 8
answer: |
  Mancini scored 8 goals for Roma in Serie A during the 2007-2008 season.","In the 2007–08 season, Mancini scored eight league goals for Roma in Serie A.","8
","in the 2007-08 season, mancini scored 8 league goals for roma in serie a",8,15.384615384615385,0.0
1387,1387,1387,How did Imre Szabics do in the Euro 2004 qualifying?,"evidence: |
  The relevant rows contain information about Imre Szabics's performance in the Euro 2004 qualifying:
  # | Date | Venue | Opponent | Score | Result | Competition
  3. | 7 June 2003 | Budapest | Latvia | 1–1 | 3–1 | UEFA Euro 2004 Qual.
  4. | 7 June 2003 | Budapest | Latvia | 2–1 | 3–1 | UEFA Euro 2004 Qual.
  5. | 11 June 2003 | Serravalle | San Marino | 4–0 | 5–0 | UEFA Euro 2004 Qual.
  6. | 11 October 2003 | Budapest | Poland | 1–1 | 1–2 | UEFA Euro 2004 Qual.
answer: |
  In the Euro 2004 qualifying, Imre Szabics played four matches, winning two (against Latvia and San Marino), drawing one (against Poland), and having one loss (against Latvia), with a cumulative score of 9 goals for and 4 against.","Imre Szabics scored four goals in the Euro 2004 qualifying, including in a 3–1 victory over Latvia on 7 June 2003.","Two wins, one draw, one loss 
","imre szabics scored 4 goals in the euro 2004 qualifying, including in a 3-1 victory over latvia on 7 june 2003","2 wins, 1 draw, 1 loss",0.0,0.0
1388,1388,1388,What were Sileshi Sihine's events and placements at the 2005 World Championships in Helsinki?,"evidence: |
  The relevant rows contain information about Sileshi Sihine's events and placements at the 2005 World Championships:
  Year | Competition | Venue | Position | Event | Notes
  2005 | World Championships | Helsinki, Finland | 2nd | 5,000 metres | 13:32.81
  2005 | World Championships | Helsinki, Finland | 2nd | 10,000 metres | 27:08.87
answer: |
  At the 2005 World Championships in Helsinki, Sileshi Sihine placed 2nd in both the 5,000 metres and the 10,000 metres events.","Sihine won a silver medal in the 10,000 metres and the silver medal in the 5000 metres at the World Championships in Helsinki, Finland.","2nd in 5,000m and 10,000m 
","sihine won a silver medal in the 10,000 metres and the silver medal in the 5000 metres at the world championships in helsinki, finland","2 in 5,000m and 10,000m",16.666666666666664,0.0
1389,1389,1389,Did Maryam Zakaria star in any Telugu films in 2011?,"evidence: |
  The relevant rows contain information about Maryam Zakaria's roles in Telugu films in 2011:
  Year | Film | Role | Language | Notes
  2011 | Madatha Kaja | Priya | Telugu | -
  2011 | 100% Love | - | Telugu | Special appearance
  2011 | Brahmigadi Katha | - | Telugu | Special appearance
answer: |
  Yes, in 2011, Maryam Zakaria starred in two Telugu films: ""100% Love"" and ""Brahmigadi Katha,"" and she played the role of Priya in ""Madatha Kaja.""","Maryam Zakaria starred in the Telugu films 100% Love, Brahmigadi Katha, and Madatha Kaja in 2011.","Yes 
","maryam zakaria starred in the telugu films 100% love, brahmigadi katha, and madatha kaja in 2011",yes,0.0,0.0
1390,1390,1390,What roles did Fuji play in 2014?,"evidence: |
  The relevant rows contain information about Mina Fujii's roles in 2014:
  Year | Title | Role | Notes
  2014 | Monsterz | Oshikiri | -
  2014 | Joshi Zu | Mika Aota | -
  2014 | Bullet Train of Wives | Shima Tayo | -
answer: |
  In 2014, Mina Fujii played the roles of Oshikiri in Monsterz, Mika Aota in Joshi Zu, and Shima Tayo in Bullet Train of Wives.","In 2014, Fujii played the character of Oshikiri in Monsterz, Mika Aota in the film Joshi Zu, and Shima Tayo in the film Bullet Train of Wives.","Oshikiri, Mika Aota, Shima Tayo 
","in 2014, fujii played the character of oshikiri in monsterz, mika aota in the film joshi zu, and shima tayo in the film bullet train of wives","oshikiri, mika aota, shima tayo",34.48275862068966,0.0
1391,1391,1391,What characters did Taylor Schilling portray in 2011 and 2012?,"evidence: |
  The relevant rows contain information about Taylor Schilling's roles in 2011 and 2012:
  Year | Title | Role | Notes
  2011 | Atlas Shrugged: Part I | Dagny Taggart | -
  2012 | The Lucky One | Beth Green | -
  2012 | Argo | Christine Mendez | -
answer: |
  In 2011, Taylor Schilling portrayed Dagny Taggart in ""Atlas Shrugged: Part I"" and in 2012, she portrayed Beth Green in ""The Lucky One"" and Christine Mendez in ""Argo.""",Taylor Schilling portrayed Dagny Taggart in Atlas Shrugged: Part I in 2011 and also acted in The Lucky One in 2012.,"Dagny Taggart, Beth Green, Christine Mendez 
",taylor schilling portrayed dagny taggart in atlas shrugged: part i in 2011 and also acted in the lucky 1 in 2012,"dagny taggart, beth green, christine mendez",15.384615384615383,0.0
1392,1392,1392,"What were the first two singles released from Jhené Aiko's album Sail Out, and what year did they come out?","evidence: |
  The relevant rows contain information about Jhené Aiko's singles from the album Sail Out:
  Title | Year | Director(s) | Other performer(s) | Album | Ref.
  ""3:16am"" | 2012 | Topshelf Jr. | N/A | Sail Out | -
  ""The Pressure"" | 2014 | Childish Gambino, Calmatic | N/A | Sail Out | -
answer: |
  The first two singles released from Jhené Aiko's album Sail Out were ""3:16am"" in 2012 and ""The Pressure"" in 2014.","""Bed Peace"" and ""The Worst"" singles from Jhené Aiko's Sail Out were released in 2013.","""3:16am"" (2012), ""The Pressure"" (2014) 
",bed peace and the worst singles from jhené aiko's sail out were released in 2013,"3:16am (2012), the pressure (2014)",0.0,0.0
1393,1393,1393,How did Arsenal perform in the 1990-91 FA Cup?,"evidence: |
  The relevant row contains information about Arsenal's performance in the 1990-91 FA Cup:
  Tie no | Home team | Score | Away team | Date
  4 | Arsenal | 2–1 | Cambridge United | 09/03/1991
answer: |
  Arsenal won their match against Cambridge United with a score of 2–1 in the 1990-91 FA Cup.","In the FA Cup, Arsenal defeated Cambridge United 2–1.","Arsenal won 2-1. 
","in the fa cup, arsenal defeated cambridge united 2-1",arsenal won 2-1,36.36363636363637,0.0
1394,1394,1394,Which teams contested the 2014 ICC Europe Division Two?,"evidence: |
  The relevant section contains information about the teams that participated in the 2014 ICC Europe Division Two:
  Austria | Belgium | Germany
  Gibraltar | Isle of Man | Norway
answer: |
  The teams that contested the 2014 ICC Europe Division Two were Austria, Belgium, Germany, Gibraltar, Isle of Man, and Norway.","The 2014 ICC Europe Division Two was contested by six teams, Austria, Belgium, Germany, Gibraltar, the Isle of Man, and Norway.","Austria, Belgium, Germany, Gibraltar, Isle of Man, Norway 
","the 2014 icc europe division 2 was contested by 6 teams, austria, belgium, germany, gibraltar, the isle of man, and norway","austria, belgium, germany, gibraltar, isle of man, norway",59.25925925925925,0.0
1395,1395,1395,What role did Nicholle Tom play in Beethoven and Beethoven's 2nd?,"evidence: |
  The relevant rows contain information about Nicholle Tom's roles in Beethoven and Beethoven's 2nd:
  Year | Title | Role | Notes
  1992 | Beethoven | Ryce Newton | -
  1993 | Beethoven's 2nd | Ryce Newton | -
answer: |
  Nicholle Tom played Ryce Newton in both Beethoven and Beethoven's 2nd.","In 1992 and 1993, Nicholle Tom played as Ryce Newton in the movies Beethoven and Beethoven's 2nd.","Ryce Newton 
","in 1992 and 1993, nicholle tom played as ryce newton in the movies beethoven and beethoven's 2",ryce newton,22.22222222222222,0.0
1396,1396,1396,How effective was Hagos as a player when he played in the AHL from 2005 to 2007?,"evidence: |
  The relevant rows contain information about Hagos's performance in the AHL from 2005 to 2007:
  Year | Team | League | GP | G | A | Pts | PIM
  2005–06 | Iowa Stars | AHL | 57 | 7 | 15 | 22 | 40
  2006–07 | Iowa Stars | AHL | 75 | 8 | 14 | 22 | 48
  
  In total during his AHL career:
  - Games Played (GP): 132
  - Goals (G): 15
  - Assists (A): 29
  - Points (Pts): 44
  - Penalty Minutes (PIM): 88

answer: |
  Hagos was moderately effective as a player in the AHL from 2005 to 2007, accumulating 15 goals and 29 assists for a total of 44 points across 132 games played. This shows that he contributed to his team's offense while also averaging about 1.1 points per every 5 games played.","Hagos played for the Iowa Stars in the AHL for two seasons, totalling 44 points in 132 regular season games.","Moderately effective 
","hagos played for the iowa stars in the ahl for 2 seasons, totalling 44 points in 132 regular season games",moderately effective,0.0,0.0
1397,1397,1397,When was Rated R: Remixed released in Brazil and the United States?,"evidence: |
  The relevant rows contain information about the release dates of Rated R: Remixed:
  Region | Date | Format | Label
  Brazil | May 8, 2010 | Digital download | Def Jam Recordings
  United States | May 24, 2010 | Digital download | Def Jam Recordings
answer: |
  Rated R: Remixed was released in Brazil on May 8, 2010, and in the United States on May 24, 2010.","Rated R: Remixed was released by Def Jam Recordings on May 8, 2010 in Brazil, and on May 24, 2010 in the United States.","May 8, 2010, May 24, 2010 
","rated r: remixed was released by def jam recordings on may 8, 2010 in brazil, and on may 24, 2010 in the united states","may 8, 2010, may 24, 2010",41.37931034482759,0.0
1398,1398,1398,What movie roles did DeObia Opare play in the year 2011 and what movies were they in?,"evidence: |
  The relevant rows contain information about DeObia Oparei's roles in 2011:
  Year | Title | Role | Notes
  2011 | Pirates of the Caribbean: On Stranger Tides | Gunner | -
  2011 | Your Highness | Thundarian | -
answer: |
  In 2011, DeObia Oparei played the role of Gunner in ""Pirates of the Caribbean: On Stranger Tides"" and the role of Thundarian in ""Your Highness.""",DeObia Oparei played roles as the Gunner in Pirates of the Caribbean: On Stranger Tides (2011) and as Thundarian in Your Highness (2011).,"Gunner in ""Pirates of the Caribbean: On Stranger Tides"", Thundarian in ""Your Highness"" 
",deobia oparei played roles as the gunner in pirates of the caribbean: on stranger tides,"gunner in pirates of the caribbean: on stranger tides, thundarian in your highness",64.0,0.0
1399,1399,1399,How long was Pat McMahon the head coach of the Florida Gators?,"evidence: |
  The relevant row contains information about Pat McMahon's tenure as head coach of the Florida Gators:
  Year(s) | Coach          | Seasons | W–L–T     | Pct
  2002–2007 | Pat McMahon   | 6      | 231–143–1 | .617
answer: |
  Pat McMahon was the head coach of the Florida Gators for 6 seasons from 2002 to 2007.","McMahon finished his six seasons, between 2002 and 2007, as the Gators' head coach.","6 seasons 
","mcmahon finished his 6 seasons, between 2002 and 2007, as the gators' head coach",6,14.285714285714288,0.0
1400,1400,1400,Where did the Holographic Principle World Tour kick off and conclude in 2017?,"evidence: |
  The relevant rows contain information about the starting and concluding locations of the Holographic Principle World Tour in 2017:
  Date | City | Country | Venue
  4 April 2017 | Osaka | Japan | Umeda Club Quattro
  9 April 2017 | Seoul | South Korea | Rolling Hall
answer: |
  The Holographic Principle World Tour kicked off in Osaka, Japan, on 4 April 2017, and concluded in Seoul, South Korea, on 9 April 2017.","The Holographic Principle World Tour kicked off in Osaka, Japan on 4 April 2017 and concluded in Seoul, South Korea on 9 April 2017.","Osaka, Japan, Seoul, South Korea 
","the holographic principle world tour kicked off in osaka, japan on 4 april 2017 and concluded in seoul, south korea on 9 april 2017","osaka, japan, seoul, south korea",35.71428571428571,0.0
1401,1401,1401,What roles has Vanessa Hudgens played in live musicals?,"evidence: |
  The relevant rows contain information about Vanessa Hudgens's roles in live musicals:
  Year | Title | Role | Notes
  2006 | High School Musical | Gabriella Montez | Television film
  2007 | High School Musical 2 | Gabriella Montez | Television film
  2016 | Grease: Live | Betty Rizzo | Special
  2019 | Rent: Live | Maureen Johnson | Special
answer: |
  Vanessa Hudgens has played the roles of Gabriella Montez in High School Musical and High School Musical 2, Betty Rizzo in Grease: Live, and Maureen Johnson in Rent: Live.","Vanessa Hudgens played the role of Rizzo in Grease: Live in 2016, and Maureen Johnson in Rent: Live in 2019.","Gabriella Montez, Betty Rizzo, Maureen Johnson 
","vanessa hudgens played the role of rizzo in grease: live in 2016, and maureen johnson in rent: live in 2019","gabriella montez, betty rizzo, maureen johnson",23.999999999999996,0.0
1402,1402,1402,How did Barry Mynter's performance as head coach for Canisius Golden Griffins (Metro Atlantic Athletic Conference) change over time?,"evidence: |
  The relevant rows contain information about Barry Mynter's head coaching record for Canisius Golden Griffins:
  Year | Team | Overall | Conference | Standing | Bowl/playoffs
  1993 | Canisius | 5–5 | 4–1 | - | -
  1994 | Canisius | 2–8 | 2–5 | - | -
answer: |
  Barry Mynter's performance as head coach for the Canisius Golden Griffins in the Metro Atlantic Athletic Conference changed from a .500 record (5 wins and 5 losses) in 1993 to a losing record (2 wins and 8 losses) in 1994. This indicates a decline in performance over that time period.","In the 1993 season Canisius finished 5-5 overall with Barry Mynter as head coach, but in 1994 Canisius finished only 2-8 overall.","Declined from .500 to losing record. 
","in the 1993 season canisius finished 5-5 overall with barry mynter as head coach, but in 1994 canisius finished only 2-8 overall",declined from .500 to losing record,0.0,0.0
1403,1403,1403,For what club did Cheesebrough play the most?,"evidence: |
  The relevant rows for Albert Cheesebrough's playing career with various clubs show the total number of appearances:
  Club | Total | Apps
  Burnley | Total | 142
  Leicester City | Total | 122
  Port Vale | Total | 57
  Mansfield Town | Total | 24
  
  Among these, Burnley has the highest total appearances.
answer: |
  Albert Cheesebrough played the most for Burnley, with a total of 142 appearances.","Albert Cheesebrough spent eight years with the club Burnley, making 158 appearances in league and cup competitions.","Burnley 
","albert cheesebrough spent 8 years with the club burnley, making 158 appearances in league and cup competitions",burnley,11.76470588235294,0.0
1404,1404,1404,In what movies did Robert Mandan play in 1982?,"evidence: |
  The relevant rows contain information about Robert Mandan's roles in movies from 1982:
  Year | Title | Role | Notes
  1982 | The Best Little Whorehouse in Texas | Senator Wingwood | -
  1982 | Zapped! | Walter J. Coolidge | -
answer: |
  In 1982, Robert Mandan played in ""The Best Little Whorehouse in Texas"" as Senator Wingwood and in ""Zapped!"" as Walter J. Coolidge.","In 1982, Robert Mandan played roles in two movies, Zapped! as Walter J. Coolidge and in The Best Little Whorehouse in Texas as Senator Wingwood.","""The Best Little Whorehouse in Texas"", ""Zapped!"" 
","in 1982, robert mandan played roles in 2 movies, zapped! as walter j. coolidge and in the best little whorehouse in texas as senator wingwood","the best little whorehouse in texas, zapped!",40.0,0.0
1405,1405,1405,What role did DeAnna Robbins play in the Film Final Exam in 1985?,"evidence: |
  The relevant row contains information about DeAnna Robbins' role in Final Exam:
  Year | Title | Role | Notes
  1981 | Final Exam | Lisa | -
answer: |
  In 1981, DeAnna Robbins played the role of Lisa in the film Final Exam.","In 1985, DeAnna Robbins played the role of Lisa in the film Final Exam.","Lisa 
","in 1985, deanna robbins played the role of lisa in the film final exam",lisa,15.384615384615385,0.0
1406,1406,1406,When was the Tiffany Evans album rebased in the United State and Japan and by which label?,"evidence: |
  The relevant rows contain information about the release history of the Tiffany Evans album:
  Country | Date | Format | Label
  United States | April 22, 2008 | CD, digital download | Columbia
  Japan | August 27, 2008 | CD | Sony
answer: |
  The Tiffany Evans album was released in the United States on April 22, 2008, by Columbia, and in Japan on August 27, 2008, by Sony.","Tiffany Evans was released by Columbia Records on April 22, 2008 in the United States and by Sony on August 27, 2008 in Japan.","['April 22, 2008, Columbia', 'August 27, 2008, Sony'] 
","tiffany evans was released by columbia records on april 22, 2008 in the united states and by sony on august 27, 2008 in japan","['april 22, 2008, columbia', 'august 27, 2008, sony']",51.61290322580645,0.0
1407,1407,1407,What is Richard Thompson's 100 metres record?,"evidence: |
  The relevant row contains information about Richard Thompson's 100 metres record:
  Date | Event | Venue | Time (seconds)
  21 June 2014 | 100 metres | Port of Spain, Trinidad and Tobago | 9.82
answer: |
  Richard Thompson's 100 metres record is 9.82 seconds, achieved on 21 June 2014 in Port of Spain, Trinidad and Tobago.","In 2014, Richard Thompson made a record in 100 m with a run of 9.82 s.","9.82 seconds 
","in 2014, richard thompson made a record in 100 m with a run of 9.82 s",9.82 seconds,12.5,0.0
1408,1408,1408,"Between 2013 and 2017, how many people were killed in the insurgency in Egypt?","evidence: |
  The relevant rows contain information about the deaths from 2013 to 2017:
  Year | Deaths
  2013 | 103
  2014 | 195
  2015 | 272
  2016 | 101
  2017 | 106
  
  Total deaths from 2013 to 2017:
  103 + 195 + 272 + 101 + 106 = 777
answer: |
  Between 2013 and 2017, a total of 777 people were killed in the insurgency in Egypt.","In the timeline of insurgency in Egypt, 103 people were killed in 2013, 195 in 2014, 272 in 2015, 101 in 2016, and 160 in 2017.","777 
","in the timeline of insurgency in egypt, 103 people were killed in 2013, 195 in 2014, 272 in 2015, 101 in 2016, and 160 in 2017",777,0.0,0.0
